scenario,replication,time,beds_used,available_beds,queue_length,queue_full,bed_utilization,system_pressure,over_capacity_pressure
Scenario_2_Priority,1,1.0,0,10,0,0,0.0,0.0,0.0
Scenario_2_Priority,1,2.0,1,9,0,0,0.1,0.06666666666666667,0.0
Scenario_2_Priority,1,3.0,1,9,0,0,0.1,0.06666666666666667,0.0
Scenario_2_Priority,1,4.0,2,8,0,0,0.2,0.13333333333333333,0.0
Scenario_2_Priority,1,5.0,2,8,0,0,0.2,0.13333333333333333,0.0
Scenario_2_Priority,1,6.0,3,7,0,0,0.3,0.2,0.0
Scenario_2_Priority,1,7.0,3,7,0,0,0.3,0.2,0.0
Scenario_2_Priority,1,8.0,4,6,0,0,0.4,0.26666666666666666,0.0
Scenario_2_Priority,1,9.0,5,5,0,0,0.5,0.3333333333333333,0.0
Scenario_2_Priority,1,10.0,5,5,0,0,0.5,0.3333333333333333,0.0
Scenario_2_Priority,1,11.0,5,5,0,0,0.5,0.3333333333333333,0.0
Scenario_2_Priority,1,12.0,6,4,0,0,0.6,0.4,0.0
Scenario_2_Priority,1,13.0,6,4,0,0,0.6,0.4,0.0
Scenario_2_Priority,1,14.0,6,4,0,0,0.6,0.4,0.0
Scenario_2_Priority,1,15.0,6,4,0,0,0.6,0.4,0.0
Scenario_2_Priority,1,16.0,7,3,0,0,0.7,0.4666666666666667,0.0
Scenario_2_Priority,1,17.0,7,3,0,0,0.7,0.4666666666666667,0.0
Scenario_2_Priority,1,18.0,7,3,0,0,0.7,0.4666666666666667,0.0
Scenario_2_Priority,1,19.0,8,2,0,0,0.8,0.5333333333333333,0.0
Scenario_2_Priority,1,20.0,8,2,0,0,0.8,0.5333333333333333,0.0
Scenario_2_Priority,1,21.0,8,2,0,0,0.8,0.5333333333333333,0.0
Scenario_2_Priority,1,22.0,9,1,0,0,0.9,0.6,0.0
Scenario_2_Priority,1,23.0,8,2,0,0,0.8,0.5333333333333333,0.0
Scenario_2_Priority,1,24.0,9,1,0,0,0.9,0.6,0.0
Scenario_2_Priority,1,25.0,8,2,0,0,0.8,0.5333333333333333,0.0
Scenario_2_Priority,1,26.0,6,4,0,0,0.6,0.4,0.0
Scenario_2_Priority,1,27.0,7,3,0,0,0.7,0.4666666666666667,0.0
Scenario_2_Priority,1,28.0,7,3,0,0,0.7,0.4666666666666667,0.0
Scenario_2_Priority,1,29.0,8,2,0,0,0.8,0.5333333333333333,0.0
Scenario_2_Priority,1,30.0,9,1,0,0,0.9,0.6,0.0
Scenario_2_Priority,1,31.0,8,2,0,0,0.8,0.5333333333333333,0.0
Scenario_2_Priority,1,32.0,9,1,0,0,0.9,0.6,0.0
Scenario_2_Priority,1,33.0,8,2,0,0,0.8,0.5333333333333333,0.0
Scenario_2_Priority,1,34.0,9,1,0,0,0.9,0.6,0.0
Scenario_2_Priority,1,35.0,9,1,0,0,0.9,0.6,0.0
Scenario_2_Priority,1,36.0,9,1,0,0,0.9,0.6,0.0
Scenario_2_Priority,1,37.0,9,1,0,0,0.9,0.6,0.0
Scenario_2_Priority,1,38.0,8,2,0,0,0.8,0.5333333333333333,0.0
Scenario_2_Priority,1,39.0,8,2,0,0,0.8,0.5333333333333333,0.0
Scenario_2_Priority,1,40.0,9,1,0,0,0.9,0.6,0.0
Scenario_2_Priority,1,41.0,8,2,0,0,0.8,0.5333333333333333,0.0
Scenario_2_Priority,1,42.0,9,1,0,0,0.9,0.6,0.0
Scenario_2_Priority,1,43.0,8,2,0,0,0.8,0.5333333333333333,0.0
Scenario_2_Priority,1,44.0,7,3,0,0,0.7,0.4666666666666667,0.0
Scenario_2_Priority,1,45.0,7,3,0,0,0.7,0.4666666666666667,0.0
Scenario_2_Priority,1,46.0,7,3,0,0,0.7,0.4666666666666667,0.0
Scenario_2_Priority,1,47.0,6,4,0,0,0.6,0.4,0.0
Scenario_2_Priority,1,48.0,7,3,0,0,0.7,0.4666666666666667,0.0
Scenario_2_Priority,1,49.0,7,3,0,0,0.7,0.4666666666666667,0.0
Scenario_2_Priority,1,50.0,8,2,0,0,0.8,0.5333333333333333,0.0
Scenario_2_Priority,1,51.0,7,3,0,0,0.7,0.4666666666666667,0.0
Scenario_2_Priority,1,52.0,7,3,0,0,0.7,0.4666666666666667,0.0
Scenario_2_Priority,1,53.0,7,3,0,0,0.7,0.4666666666666667,0.0
Scenario_2_Priority,1,54.0,8,2,0,0,0.8,0.5333333333333333,0.0
Scenario_2_Priority,1,55.0,7,3,0,0,0.7,0.4666666666666667,0.0
Scenario_2_Priority,1,56.0,7,3,0,0,0.7,0.4666666666666667,0.0
