scenario,replication,time,beds_used,available_beds,queue_length,queue_full,bed_utilization,system_pressure,over_capacity_pressure
Scenario_3_Surge,1,1.0,1,9,0,0,0.1,0.06666666666666667,0.0
Scenario_3_Surge,1,2.0,1,9,0,0,0.1,0.06666666666666667,0.0
Scenario_3_Surge,1,3.0,2,8,0,0,0.2,0.13333333333333333,0.0
Scenario_3_Surge,1,4.0,3,7,0,0,0.3,0.2,0.0
Scenario_3_Surge,1,5.0,3,7,0,0,0.3,0.2,0.0
Scenario_3_Surge,1,6.0,5,5,0,0,0.5,0.3333333333333333,0.0
Scenario_3_Surge,1,7.0,5,5,0,0,0.5,0.3333333333333333,0.0
Scenario_3_Surge,1,8.0,5,5,0,0,0.5,0.3333333333333333,0.0
Scenario_3_Surge,1,9.0,6,4,0,0,0.6,0.4,0.0
Scenario_3_Surge,1,10.0,7,3,0,0,0.7,0.4666666666666667,0.0
Scenario_3_Surge,1,11.0,7,3,0,0,0.7,0.4666666666666667,0.0
Scenario_3_Surge,1,12.0,8,2,0,0,0.8,0.5333333333333333,0.0
Scenario_3_Surge,1,13.0,7,3,0,0,0.7,0.4666666666666667,0.0
Scenario_3_Surge,1,14.0,7,3,0,0,0.7,0.4666666666666667,0.0
Scenario_3_Surge,1,15.0,8,2,0,0,0.8,0.5333333333333333,0.0
Scenario_3_Surge,1,16.0,8,2,0,0,0.8,0.5333333333333333,0.0
Scenario_3_Surge,1,17.0,9,1,0,0,0.9,0.6,0.0
Scenario_3_Surge,1,18.0,9,1,0,0,0.9,0.6,0.0
Scenario_3_Surge,1,19.0,10,0,0,0,1.0,0.6666666666666666,0.0
Scenario_3_Surge,1,20.0,10,0,0,0,1.0,0.6666666666666666,0.0
Scenario_3_Surge,1,21.0,10,0,0,0,1.0,0.6666666666666666,0.0
Scenario_3_Surge,1,22.0,10,0,0,0,1.0,0.6666666666666666,0.0
Scenario_3_Surge,1,23.0,10,0,0,0,1.0,0.6666666666666666,0.0
Scenario_3_Surge,1,24.0,9,1,0,0,0.9,0.6,0.0
Scenario_3_Surge,1,25.0,9,1,0,0,0.9,0.6,0.0
Scenario_3_Surge,1,26.0,10,0,0,0,1.0,0.6666666666666666,0.0
